,user,score,prediction
0,3M,D,D
1,ADP,C,C
2,AEPnews,D,D
3,AIGinsurance,D,D
4,APA_Corp,C,C
5,ATT,B,B
6,AbbottNews,B,B
7,Accenture_US,B,B
8,Adobe,A,A
9,Allstate,B,B
10,AltriaNews,C,C
11,AmericanExpress,C,C
12,Amgen,B,B
13,BNYMellon,A,A
14,BankofAmerica,A,A
15,BlackRock,C,C
16,Boeing,A-,A-
17,CP_News,B,B
18,CSX,A,A
19,CapitalOne,C,C
20,CarnivalPLC,C,C
21,CharlesSchwab,E,E
22,Chevron,A-,A-
23,Chubb,D,D
24,Cisco,A,A
25,Citi,B,B
26,CocaColaCo,A-,A-
27,Cognizant,C,C
28,Corning,D,D
29,Cummins,B,B
30,DevonEnergy,B,B
31,DowNewsroom,B,B
32,DuPont_News,A,A
33,DukeEnergy,C,C
34,Ecolab,A,A
35,Exelon,A,A
36,FM_FCX,C,C
37,FTI_Global,C,C
38,FedEx,B,B
39,Ford,C,C
40,GM,A-,A-
41,GeneralMills,B,B
42,GoldmanSachs,A,A
43,Google,B,B
44,HPE,A,A
45,Halliburton,D,D
46,HessCorporation,B,B
47,HomeDepot,A-,A-
48,IBM,B,B
49,ITWCareers,C,C
50,InsidePMI,B,B
51,JNJNews,A-,A-
52,JohnDeere,C,C
53,KCCorp,C,C
54,KelloggCompany,B,B
55,LasVegasSands,A-,A-
56,LillyPad,B,B
57,LockheedMartin,A,A
58,Lowes,D,D
59,MDLZ,B,B
60,MarshMcLennan,B,B
61,McDonaldsCorp,D,D
62,Medtronic,D,D
63,Merck,B,B
64,MetLife,A-,A-
65,Microsoft,A,A
66,MorganStanley,A,A
67,NewmontCorp,B,B
68,Nike,D,D
69,Oracle,C,C
70,PNCBank,B,B
71,PPG,D,D
72,PepsiCo,B,B
73,Prudential,C,C
74,Qualcomm,D,B
75,ShopSimon,B,B
76,Starbucks,C,C
77,StateStreet,C,C
78,StrykerComm,E,E
79,Sysco,C,C
80,TJXCareers,B,B
81,TXInstruments,D,D
82,Target,B,B
83,Travelers,C,C
84,UPS,A-,A-
85,UnionPacific,B,B
86,UnitedHealthGrp,B,B
87,VentasREIT,C,C
88,VerizonNews,B,B
89,Visa,D,D
90,Walmart,A-,A-
91,WaltDisneyCo,C,C
92,WeAreOxy,E,E
93,WellsFargo,A,A
94,aflac,B,B
95,airproducts,B,B
96,baxter_intl,B,B
97,biogen,B,B
98,bmsnews,B,B
99,conocophillips,B,B
100,eBay,D,D
101,eatoncorp,A-,A-
102,exxonmobil,B,B
103,generalelectric,C,C
104,honeywell,B,B
105,intel,B,B
106,johnsoncontrols,A-,A-
107,nscorp,B,B
108,pfizer,B,B
109,salesforce,C,C
110,thermofisher,D,D
111,usbank,C,C
112,yumbrands,B,B
